# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8529496092936095,5.076484142240355,-0.08130786808323934,0,3.0,-0.22604813814835312,0.0,0.0,0.0
 0.08981172257409042,1.8650488153783973,5.076466972366396,-0.08130786808323934,0.2694351677222713,3.0,-0.22604813814835312,0.0,-4.1884974284786205,0.0
 0.12752991141872297,1.8773453073297965,5.076415616931969,-0.23929040506585375,0.3825897342561689,2.999999999999999,-0.21401342014603036,0.0,-5.1890724589532,0.0
 0.15681878525680318,1.8898373956933614,5.0763303072182495,-0.39127249365279065,0.4704563557704095,3.0,-0.2028467233758023,0.0,-5.858032321856006,0.0
 0.1817961328249738,1.9025233910146457,5.076211274506415,-0.5375906030213657,0.5453883984749214,2.9999999999999987,-0.19247074318795448,0.0,-6.3347961636703545,0.0
 0.2040487962512623,1.9154016038392034,5.07605875007764,-0.6785566899256656,0.6121463887537868,2.9999999999999987,-0.18281629913617728,0.0,-6.682363334261185,0.0
 0.22438646459526848,1.9284703447125888,5.075872965213099,-0.814460379172017,0.6731593937858054,3.0,-0.1738213577736678,0.0,-6.936634255668387,0.0
 0.2432876395389057,1.9417279241803558,5.075654151193971,-0.9455709167584319,0.7298629186167169,2.9999999999999956,-0.16543018653887032,0.0,-7.120642979576927,0.0
 0.26106243969651827,1.955172652788058,5.07540253930143,-1.0721389227141187,0.7831873190895546,3.0,-0.15759262037965932,0.0,-7.250279661725759,0.0
 0.27792510567707523,1.9688028410812497,5.075118360816652,-1.1943979669154257,0.8337753170312254,2.9999999999999933,-0.15026342400602627,0.0,-7.3370524457764095,0.0
 0.29403075879335766,1.982616799605485,5.074801847020813,-1.312565988503072,0.8820922763800727,3.0,-0.14340173595045763,0.0,-7.389589341523388,0.0
 0.30949583846926393,1.996612838906318,5.074453229195089,-1.4268465764419591,0.9284875154077915,3.0,-0.13697058355810768,0.0,-7.414527275054616,0.0
 0.3244102822735563,2.0107892695293024,5.074072738620656,-1.537430126821154,0.9732308468206685,2.9999999999999964,-0.13093645759280573,0.0,-7.417072923150742,0.0
 0.33884519005986996,2.0251444020199925,5.073660606578689,-1.644494890511199,1.0165355701796097,3.0000000000000115,-0.1252689399881719,0.0,-7.401374378941484,0.0
 0.3528578621728381,2.0396765469239417,5.073217064350365,-1.7482079228686291,1.0585735865185142,3.000000000000004,-0.11994037586132991,0.0,-7.370777343772992,0.0
 0.36649523292336633,2.054384014786705,5.072742343216858,-1.8487259462252552,1.099485698770099,3.000000000000004,-0.11492558513035081,0.0,-7.328007410999516,0.0
 0.3797962822231192,2.069265116153835,5.072236674459346,-1.946196134067914,1.1393888466693574,2.9999999999999916,-0.11020160783093383,0.0,-7.275303240616933,0.0
 0.3927937736057599,2.084318161570887,5.071700289359003,-2.0407568252439305,1.1783813208172795,3.0,-0.10574747886646227,0.0,-7.2145159936069625,0.0
 0.4055155348494248,2.0995414615834145,5.071133419197007,-2.1325381752032,1.2165466045482742,2.9999999999999956,-0.10154402848772519,0.0,-7.147184980191725,0.0
 0.41798541996065347,2.1149333267369714,5.070536295254532,-2.22166275077489,1.2539562598819602,3.0000000000000044,-0.09757370548390164,0.0,-7.0745961053307935,0.0
 0.43022404416318505,2.1304920675771126,5.069909148812754,-2.3082460738927275,1.290672132489555,2.9999999999999956,-0.09382041969945257,0.0,-6.997827672240862,0.0
 0.4422493539572697,2.14621599464939,5.06925221115285,-2.392397119537042,1.3267480618718088,2.9999999999999907,-0.09026940199622113,0.0,-6.917786670770205,0.0
 0.454077075227495,2.1621034184993597,5.068565713555996,-2.4742187720857918,1.3622312256824847,2.999999999999995,-0.0869070790748356,0.0,-6.835237850581266,0.0
 0.4657210697539698,2.1781526496725747,5.067849887303366,-2.5538082442051135,1.397163209261909,3.0,-0.08372096210918699,0.0,-6.750827209315884,0.0
 0.4771936219495042,2.1943619987145895,5.067104963676138,-2.631257461727024,1.431580865848512,2.9999999999999853,-0.08069954678435669,0.0,-6.665101134513058,0.0
 0.48850567176410087,2.2107297761709575,5.066331173955485,-2.70665341777996,1.465517015292302,3.0,-0.07783222356949696,0.0,-6.5785220925276855,0.0
 0.4996670055716772,2.227254292587233,5.065528749422586,-2.780078498815177,1.499001016715031,2.9999999999999902,-0.07510919803722141,0.0,-6.491481604086852,0.0
 0.5106864139118619,2.2439338585089703,5.064697921358615,-2.851610785343407,1.532059241735585,3.0,-0.07252141777204009,0.0,-6.404310994167577,0.0
 0.5215718228310938,2.260766784481723,5.063838921044748,-2.9213243293608544,1.5647154684932807,2.99999999999999,-0.07006050801520781,0.0,-6.317290382746801,0.0
 0.5323304040063602,2.2777513810510452,5.062951979762161,-2.9892894107513657,1.5969912120190801,3.0000000000000204,-0.06771871321799042,0.0,-6.2306562158902326,0.0
 0.5429686676761051,2.2948859587624906,5.06203732879203,-3.0555727744115404,1.6289060030283147,3.0,-0.06548884356626862,0.0,-6.144607603255133,0.0
 0.5534925415327145,2.3121688281616137,5.061095199415531,-3.120237849726561,1.660477624598143,2.9999999999999893,-0.06336422796393802,0.0,-6.059311683101308,0.0
 0.5639074380706803,2.3295982997939686,5.06012582291384,-3.1833449539973486,1.6917223142120403,3.0,-0.061338670397037116,0.0,-5.974908166460629,0.0
